These results were downloaded and refreshed on October   20, 2015 at 12:18 p.m. ET. / Ces résultats ont été téléchargés et rafraichis le 20 octobre 2015 à 12h18 HE.													
Electoral district number - Numéro de la circonscription	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname - Nom de famille	Middle name(s) - Autre(s) prénom(s)	Given name - Prénom	Political affiliation	Appartenance politique	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %	Rejected ballots - Bulletins rejetés***	Total number of ballots cast - Nombre total de votes déposés
13001	Acadie--Bathurst	Acadie--Bathurst	preliminary	préliminaires	Godin		Jason	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	20079	39.4	0	50958
13002	Beauséjour	Beauséjour	preliminary	préliminaires	Bastarache		Ann	Conservative	Conservateur	6017	11.4	0	52945
13002	Beauséjour	Beauséjour	preliminary	préliminaires	Boudreau		Hélène	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	8014	15.1	0	52945
13002	Beauséjour	Beauséjour	preliminary	préliminaires	King		Kevin	Green Party	Parti Vert	2376	4.5	0	52945
13002	Beauséjour	Beauséjour	preliminary	préliminaires	LeBlanc		Dominic	Liberal	Libéral	36538	69	0	52945
13003	Fredericton	Fredericton	preliminary	préliminaires	Ashfield		Keith	Conservative	Conservateur	13267	28.4	0	46712
13003	Fredericton	Fredericton	preliminary	préliminaires	Babineau		Mary Lou	Green Party	Parti Vert	5809	12.4	0	46712
13003	Fredericton	Fredericton	preliminary	préliminaires	DeCourcey		Matt	Liberal	Libéral	23009	49.3	0	46712
13003	Fredericton	Fredericton	preliminary	préliminaires	Scott-Levesque		Sharon	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4627	9.9	0	46712
13004	Fundy Royal	Fundy Royal	preliminary	préliminaires	Amos		David Raymond	Independent	Indépendant	296	.6	0	46827
13004	Fundy Royal	Fundy Royal	preliminary	préliminaires	Coburn		Stephanie	Green Party	Parti Vert	1823	3.9	0	46827
13004	Fundy Royal	Fundy Royal	preliminary	préliminaires	Lockhart		Alaina	Liberal	Libéral	19140	40.9	0	46827
13004	Fundy Royal	Fundy Royal	preliminary	préliminaires	McKenzie		Jennifer	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	8207	17.5	0	46827
13004	Fundy Royal	Fundy Royal	preliminary	préliminaires	Moore		Rob	Conservative	Conservateur	17361	37.1	0	46827
13005	Madawaska--Restigouche	Madawaska--Restigouche	preliminary	préliminaires	Arseneault		René	Liberal	Libéral	21539	56.6	0	38057
13005	Madawaska--Restigouche	Madawaska--Restigouche	preliminary	préliminaires	Aubin		Françoise	Green Party	Parti Vert	707	1.9	0	38057
13005	Madawaska--Restigouche	Madawaska--Restigouche	preliminary	préliminaires	L'Italien		Rosaire	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	9669	25.4	0	38057
13005	Madawaska--Restigouche	Madawaska--Restigouche	preliminary	préliminaires	Valcourt		Bernard	Conservative	Conservateur	6142	16.1	0	38057
13006	Miramichi--Grand Lake	Miramichi--Grand Lake	preliminary	préliminaires	Clark		Matthew Ian	Green Party	Parti Vert	1098	3	0	36349
13006	Miramichi--Grand Lake	Miramichi--Grand Lake	preliminary	préliminaires	Colford		Patrick	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	5593	15.4	0	36349
13006	Miramichi--Grand Lake	Miramichi--Grand Lake	preliminary	préliminaires	Finnigan		Pat	Liberal	Libéral	17102	47	0	36349
